Names	total	elements
		suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)
		Selenoprotein T
		zinc finger, SWIM-type containing 6
		zinc finger homeobox 4
		coiled-coil domain containing 85A
		synaptotagmin XIV
		zinc finger, CCHC domain containing 14
		nuclear receptor coactivator 2
		neuron navigator 3
		phosphodiesterase 7A
		ATPase, Na+/K+ transporting, beta 1 polypeptide
		zinc finger protein 24
		bromodomain and WD repeat domain containing 3
		3-hydroxy-3-methylglutaryl-CoA reductase
		dystonin
		homeodomain interacting protein kinase 2
		forkhead box P1
		protocadherin 7
		BTB (POZ) domain containing 3
		KIAA1024
		praja ring finger 2, E3 ubiquitin protein ligase
		RAS and EF-hand domain containing
		ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1
		KIAA1549-like
		potassium voltage-gated channel, Shal-related subfamily, member 3
		protein kinase, AMP-activated, alpha 1 catalytic subunit
		ADAM metallopeptidase with thrombospondin type 1 motif, 3
		TBC1 domain family, member 12
		splicing regulatory glutamine/lysine-rich protein 1
		biogenesis of lysosomal organelles complex-1, subunit 5, muted
		glutamate receptor, ionotropic, kainate 2
		SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
		phospholipase D family, member 5
		Meis homeobox 1
		dipeptidyl-peptidase 10 (non-functional)
		glutamate receptor, ionotropic, delta 2
		neuro-oncological ventral antigen 1
		adenylate cyclase activating polypeptide 1 (pituitary)
		suppressor of cytokine signaling 5
		PTC7 protein phosphatase homolog (S. cerevisiae)
		chimerin 2
		lysine (K)-specific methyltransferase 2E
		K(lysine) acetyltransferase 6B
		transmembrane emp24 protein transport domain containing 5
		RPGRIP1-like
		roundabout, axon guidance receptor, homolog 2 (Drosophila)
		early B-cell factor 1
		polypyrimidine tract binding protein 3
		regulatory factor X, 3 (influences HLA class II expression)
		La ribonucleoprotein domain family, member 4B
		protocadherin 18
		transmembrane 9 superfamily member 3
		THAP domain containing, apoptosis associated protein 1
		zinc finger protein 207
		cytoplasmic polyadenylation element binding protein 2
		Mdm4 p53 binding protein homolog (mouse)
		phosphodiesterase 4D, cAMP-specific
		gamma-aminobutyric acid (GABA) A receptor, beta 2
		protocadherin 10
		tubby like protein 4
		C-terminal binding protein 2
		glucocorticoid induced transcript 1
		nuclear factor I/A
		pim-1 oncogene
		follistatin
		estrogen-related receptor gamma
		SEC14 and spectrin domains 1
		AT rich interactive domain 5B (MRF1-like)
		one cut homeobox 2
		family with sequence similarity 84, member A
		teashirt zinc finger homeobox 2
		testis derived transcript (3 LIM domains)
		PALM2-AKAP2 readthrough
		CREB/ATF bZIP transcription factor
		A kinase (PRKA) anchor protein 2
		abl-interactor 2
		NCK-associated protein 1
		versican
		ankyrin 3, node of Ranvier (ankyrin G)
		nuclear receptor coactivator 7
hsa-miR-33a-5p hsa-miR-33b-5p hsa-miR-758-3p	15	transcription factor CP2-like 1
		Uncharacterized protein
		cytoplasmic polyadenylation element binding protein 4
