Names	total	elements
		CDK2-associated, cullin domain 1
		Josephin domain containing 1
		phosphoglycolate phosphatase
		microtubule-associated protein 7
		early endosome antigen 1
		chromosome 6 open reading frame 120
		MAX dimerization protein 1
		WW domain containing adaptor with coiled-coil
		eukaryotic translation initiation factor 5B
		rabaptin, RAB GTPase binding effector protein 1
		hepatic leukemia factor
		glycosyltransferase-like domain containing 1
		zinc binding alcohol dehydrogenase domain containing 2
		ZFP91 zinc finger protein
		interleukin 6 signal transducer (gp130, oncostatin M receptor)
		centromere protein O
		FYVE, RhoGEF and PH domain containing 1
		BMP and activin membrane-bound inhibitor
		ferric-chelate reductase 1-like
		DnaJ (Hsp40) homolog, subfamily C, member 28
		RING1 and YY1 binding protein
		endoplasmic reticulum metallopeptidase 1
		ring finger protein 150
		RNA binding motif, single stranded interacting protein 2
		plexin domain containing 2
		glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)
		Fas-activated serine/threonine kinase
		casein kinase 1, gamma 1
		RALBP1 associated Eps domain containing 2
hsa-miR-144-3p hsa-miR-758-3p	29	lysine (K)-specific demethylase 6A
		xylosyltransferase I
		anthrax toxin receptor 2
		dual specificity phosphatase 1
		glutamate receptor, ionotropic, kainate 3
		adenosylhomocysteinase
		serine/arginine-rich splicing factor 10
		pumilio RNA-binding family member 2
		cyclin-dependent kinase 19
		cell adhesion molecule 1
		zinc finger and BTB domain containing 38
		Fli-1 proto-oncogene, ETS transcription factor
		transferrin receptor
		homeodomain interacting protein kinase 3
		USP6 N-terminal like
		ADAM metallopeptidase with thrombospondin type 1 motif, 17
		phosphodiesterase 7B
		nephronectin
		glioma tumor suppressor candidate region gene 1
		synaptic vesicle glycoprotein 2C
		zinc finger homeobox 3
		striatin, calmodulin binding protein 3
		heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
		angiopoietin-like 3
		dishevelled-binding antagonist of beta-catenin 3
		isocitrate dehydrogenase 2 (NADP+), mitochondrial
		glycerophosphodiester phosphodiesterase 1
		fibrillin 1
		transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)
hsa-miR-106b-5p	1007	RAB21, member RAS oncogene family
		UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6
		homeobox D11
		chromosome 9 open reading frame 64
		sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A
		lysine (K)-specific methyltransferase 2C
		inositol polyphosphate multikinase
		adenosine deaminase, RNA-specific
		tsukushi, small leucine rich proteoglycan
		solute carrier family 48 (heme transporter), member 1
		forkhead box J3
		soc-2 suppressor of clear homolog (C. elegans)
		solute carrier family 25 (pyrimidine nucleotide carrier ), member 36
		cysteine-rich hydrophobic domain 1
		ArfGAP with FG repeats 2
		frizzled family receptor 3
		SMAD family member 6
		MAP kinase interacting serine/threonine kinase 2
		myoneurin
		clustered mitochondria (cluA/CLU1) homolog
		zinc finger, FYVE domain containing 16
		Rho family GTPase 3
		RAB11 family interacting protein 5 (class I)
		XK, Kell blood group complex subunit-related family, member 4
		T-cell activation RhoGTPase activating protein
		glypican 6
		plexin A1
		platelet-derived growth factor beta polypeptide
		ring finger protein 217
		nuclear receptor interacting protein 3
		signal-induced proliferation-associated 1 like 3
		forkhead box A1
		chromosome 16 open reading frame 72
		DCN1, defective in cullin neddylation 1, domain containing 3
		CD69 molecule
		cap methyltransferase 2
		SIN3 transcription regulator family member B
		lysine (K)-specific demethylase 2A
		OTU domain containing 1
		microtubule associated serine/threonine kinase 3
		Nance-Horan syndrome (congenital cataracts and dental anomalies)
		signal transducer and activator of transcription 3 (acute-phase response factor)
		CCR4-NOT transcription complex, subunit 6-like
		urotensin 2B
		exophilin 5
		golgi SNAP receptor complex member 1
		tumor necrosis factor receptor superfamily, member 21
		serine/threonine kinase 17b
		AKT interacting protein
		G protein-coupled receptor 37 like 1
		ubiquitin-conjugating enzyme E2Q family-like 1
		KIAA2018
		ubiquitin C
		late endosomal/lysosomal adaptor, MAPK and MTOR activator 1
		FERM domain containing 4B
		zinc finger and BTB domain containing 41
		transmembrane protein 167A
		importin 9
		transmembrane protein 245
		dynein, axonemal, light chain 1
		nudE neurodevelopment protein 1-like 1
		adiponectin receptor 2
		Kruppel-like factor 11
		kelch-like family member 36
		centrosomal protein 128kDa
		zinc finger and BTB domain containing 33
		low density lipoprotein receptor-related protein 8, apolipoprotein e receptor
		programmed cell death 1 ligand 2
		WAS/WASL interacting protein family, member 2
		ajuba LIM protein
		PR domain containing 6
		tensin 1
		POU class 6 homeobox 1
		citron (rho-interacting, serine/threonine kinase 21)
		ubiquitin-conjugating enzyme E2W (putative)
		anoctamin 6
		yippee-like 2 (Drosophila)
		solute carrier family 25, member 44
		zinc finger, DHHC-type containing 8
		protein kinase N2
		calpain 15
		mitogen-activated protein kinase kinase kinase 12
		fem-1 homolog c (C. elegans)
		ribosomal protein S6 kinase, 90kDa, polypeptide 5
		minichromosome maintenance complex component 3
		Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
		transforming growth factor, beta receptor associated protein 1
		MINOS1-NBL1 readthrough
		prostaglandin D2 receptor (DP)
		SLIT and NTRK-like family, member 2
		zinc finger protein 217
		vasodilator-stimulated phosphoprotein
		ankyrin repeat domain 29
		transmembrane protein 123
		palladin, cytoskeletal associated protein
		transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)
		pleiomorphic adenoma gene-like 2
		transmembrane protein 100
		T-cell lymphoma invasion and metastasis 1
		interleukin 1 receptor accessory protein-like 1
		disrupted in renal carcinoma 2
		tubulin polymerization promoting protein
		caldesmon 1
		phosphoinositide kinase, FYVE finger containing
		protein tyrosine phosphatase, non-receptor type 21
		eukaryotic translation initiation factor 4E
		RAR-related orphan receptor C
		protein phosphatase 6, regulatory subunit 1
		tet methylcytosine dioxygenase 1
		transmembrane protein 132B
		sortilin-related receptor, L(DLR class) A repeats containing
		ubiquitin specific peptidase 28
		Rho GTPase activating protein 12
		forkhead box L2
		5'-3' exoribonuclease 1
		BTB (POZ) domain containing 7
		RB1-inducible coiled-coil 1
		kin of IRRE like (Drosophila)
		fibroblast growth factor 4
		RAB11 family interacting protein 4 (class II)
		Rac GTPase activating protein 1
		protein phosphatase, Mg2+/Mn2+ dependent, 1A
		TCDD-inducible poly(ADP-ribose) polymerase
		ankyrin repeat and FYVE domain containing 1
		egl-9 family hypoxia-inducible factor 3
		family with sequence similarity 83, member F
		phosphatidylinositol-5-phosphate 4-kinase, type II, alpha
		protein tyrosine phosphatase, non-receptor type 3
		solute carrier family 40 (iron-regulated transporter), member 1
		trans-golgi network vesicle protein 23 homolog B (S. cerevisiae)
		TBC1 domain family, member 17
		chemokine (C-X-C motif) ligand 14
		tripartite motif containing 3
		lin-52 homolog (C. elegans)
		IQ motif and Sec7 domain 1
		bromodomain and WD repeat domain containing 1
		RAS, dexamethasone-induced 1
		stearoyl-CoA desaturase 5
		nescient helix loop helix 1
		HAUS augmin-like complex, subunit 8
		proline rich Gla (G-carboxyglutamic acid) 1
		SUN domain containing ossification factor
		suppressor of variegation 4-20 homolog 1 (Drosophila)
		ankyrin repeat domain 9
		chromobox homolog 8
		furin (paired basic amino acid cleaving enzyme)
		potassium channel, subfamily K, member 10
		abl-interactor 1
		par-6 family cell polarity regulator beta
		neurobeachin-like 1
		sulfatase 1
		family with sequence similarity 117, member A
		leucine rich repeat containing 55
		transcriptional adaptor 2B
		paraoxonase 2
		neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase
		v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
		mago-nashi homolog B (Drosophila)
		inositol hexakisphosphate kinase 1
		REST corepressor 1
		zinc finger, NFX1-type containing 1
		TAO kinase 2
		BCL2/adenovirus E1B 19kDa interacting protein 2
		solute carrier family 16, member 12
		fibroblast growth factor 5
		DnaJ (Hsp40) homolog, subfamily C, member 16
		PHD finger protein 1
		leucine-rich repeats and immunoglobulin-like domains 1
		adaptor-related protein complex 3, delta 1 subunit
		Rho guanine nucleotide exchange factor (GEF) 10
		inositol 1,4,5-trisphosphate receptor interacting protein-like 2
		CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
		solute carrier family 41 (magnesium transporter), member 1
		zinc finger protein 202
		ALG3, alpha-1,3- mannosyltransferase
		netrin G1
		LIM and SH3 protein 1
		synaptotagmin-like 4
		laminin, alpha 3
		transmembrane protein 127
		A kinase (PRKA) anchor protein 13
		CD274 molecule
		spectrin repeat containing, nuclear envelope 1
		Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)
		zinc finger and SCAN domain containing 25
		SERTA domain containing 2
		coiled-coil domain containing 50
		ubiquitin-conjugating enzyme E2Q family member 2
		methionyl aminopeptidase 1
		carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7
		transmembrane protein 133
		SLIT-ROBO Rho GTPase activating protein 3
		phospholipid scramblase 4
		trophinin associated protein
		blood vessel epicardial substance
		SRSF protein kinase 2
		JAZF zinc finger 1
		proline rich 14-like
		chromosome 1 open reading frame 63
		TBC1 domain family, member 2
		ring finger protein (C3H2C3 type) 6
		ribonuclease P/MRP 14kDa subunit
		patched domain containing 1
		Wolfram syndrome 1 (wolframin)
		zinc finger, DHHC-type containing 1
		serine/threonine kinase 11 interacting protein
		glucoside xylosyltransferase 1
		ring finger protein 2
		nucleic acid binding protein 1
		GRB2 associated, regulator of MAPK1
		chromosome X open reading frame 56
		arginyltransferase 1
		transmembrane protein 25
		Dab, reelin signal transducer, homolog 1 (Drosophila)
		mannose-6-phosphate receptor (cation dependent)
		polymerase (DNA directed), theta
		family with sequence similarity 219, member B
		vasohibin 2
		period circadian clock 1
		nuclear receptor subfamily 2, group C, member 2
		AT hook containing transcription factor 1
		B-cell translocation gene 1, anti-proliferative
		zinc finger protein 70
		transmembrane protein 168
		replication protein A2, 32kDa
		toll-like receptor 4
		microtubule-associated protein, RP/EB family, member 1
		solute carrier family 1 (glial high affinity glutamate transporter), member 2
		breakpoint cluster region
		Janus kinase 1
		neurobeachin
		nucleotide binding protein 1
		headcase homolog (Drosophila)
		tetratricopeptide repeat domain 7A
		zinc finger and BTB domain containing 9
		coenzyme Q2 4-hydroxybenzoate polyprenyltransferase
		RAD23 homolog B (S. cerevisiae)
		NFKB inhibitor interacting Ras-like 1
		UDP-glucose 6-dehydrogenase
		potassium inwardly-rectifying channel, subfamily J, member 10
		interferon regulatory factor 9
		v-akt murine thymoma viral oncogene homolog 3
		cyclin D1
		proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)
		family with sequence similarity 129, member B
		myosin IXA
		UEV and lactate/malate dehyrogenase domains
		oculocerebrorenal syndrome of Lowe
		low density lipoprotein receptor class A domain containing 3
		low density lipoprotein receptor-related protein 1B
		dual specificity phosphatase 8
		SKI family transcriptional corepressor 1
		ubiquitin-conjugating enzyme E2, J1
		family with sequence similarity 216, member B
		phosphofructokinase, platelet
		sorting nexin family member 21
		mitochondrial assembly of ribosomal large subunit 1
		interleukin 8
		cAMP responsive element binding protein 5
		cyclin M3
		transmembrane protein 231
		solute carrier family 9, subfamily A (NHE2, cation proton antiporter 2), member 2
		neurogenin 3
		ankyrin repeat domain 33B
		sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G
		pannexin 2
		ectodysplasin A2 receptor
		membrane-associated ring finger (C3HC4) 4, E3 ubiquitin protein ligase
		G protein-coupled receptor kinase interacting ArfGAP 2
		cytochrome b reductase 1
		cyclin-dependent kinase inhibitor 1A (p21, Cip1)
		proteasome (prosome, macropain) subunit, beta type, 5
		MTERF domain containing 2
		LIM homeobox 9
		cadherin 19, type 2
		osteopetrosis associated transmembrane protein 1
		pyruvate dehydrogenase kinase, isozyme 3
		coagulation factor III (thromboplastin, tissue factor)
		family with sequence similarity 210, member A
		ST3 beta-galactoside alpha-2,3-sialyltransferase 1
		zinc finger protein 385A
		DnaJ (Hsp40) homolog, subfamily B, member 6
		CCR4-NOT transcription complex, subunit 7
		KIAA0513
		endothelial PAS domain protein 1
		presenilin 1
		tankyrase 1 binding protein 1, 182kDa
		UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2
		Kruppel-like factor 10
		misshapen-like kinase 1
		pleckstrin homology domain containing, family O member 2
		dipeptidyl-peptidase 3
		katanin p60 subunit A-like 1
		chromodomain helicase DNA binding protein 9
		transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)
		ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6
		early growth response 2
		microfibrillar-associated protein 3-like
		WNK lysine deficient protein kinase 1
		solute carrier family 16, member 9
		v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3
		YOD1 deubiquitinase
		guanosine monophosphate reductase
		FYVE, RhoGEF and PH domain containing 4
		zinc finger protein 512B
		polycystic kidney disease 2 (autosomal dominant)
		coronin, actin binding protein, 2B
		tumor protein p73
		cyclin J
		proline rich 15
		adenylate kinase 4
		membrane-associated ring finger (C3HC4) 8, E3 ubiquitin protein ligase
		WAS protein family, member 3
		WW and C2 domain containing 2
		G protein-coupled receptor 133
		activin A receptor type II-like 1
		mediator complex subunit 17
		eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa
		G protein-coupled receptor 63
		syntaxin 6
		thyroid hormone receptor, alpha
		myosin ID
		mitofusin 2
		ribonucleotide reductase M2
		protein phosphatase 6, regulatory subunit 2
		membrane-associated ring finger (C3HC4) 1, E3 ubiquitin protein ligase
		transmembrane protein 64
		APC membrane recruitment protein 2
		lysosomal trafficking regulator
		phospholipase C, beta 1 (phosphoinositide-specific)
		sosondowah ankyrin repeat domain family member C
		kelch-like family member 28
		tumor protein p63 regulated 1-like
		chromodomain helicase DNA binding protein 2
		PR domain containing 10
		5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled
		BTG family, member 2
		family with sequence similarity 45, member A
		X-ray radiation resistance associated 1
		BH3 interacting domain death agonist
		transmembrane emp24 protein transport domain containing 8
		LY6/PLAUR domain containing 6
		cytochrome P450, family 2, subfamily U, polypeptide 1
		zinc finger protein 74
		chemokine-like receptor 1
		ninein (GSK3B interacting protein)
		KIAA0922
		ubiquitin family domain containing 1
		PH domain and leucine rich repeat protein phosphatase 2
		ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
		thioredoxin-related transmembrane protein 3
		NK6 homeobox 1
		neuroblastoma 1, DAN family BMP antagonist
		coiled-coil domain containing 25
		ATP-binding cassette, sub-family G (WHITE), member 4
		F-box protein 21
		cytidine monophosphate (UMP-CMP) kinase 1, cytosolic
		G protein-coupled receptor 6
		hippocampus abundant transcript 1
		netrin 4
		homeobox A2
		solute carrier family 7 (cationic amino acid transporter, y+ system), member 2
		lysophosphatidylglycerol acyltransferase 1
		chromosome 3 open reading frame 70
		chemokine (C-C motif) ligand 1
		POU class 6 homeobox 2
		polycystic kidney disease 1 (autosomal dominant)
		beclin 1, autophagy related
		lysosomal-associated membrane protein 1
		pyruvate dehydrogenase phosphatase regulatory subunit
		mesoderm induction early response 1, family member 2
		tripartite motif containing 66
		transmembrane and tetratricopeptide repeat containing 1
		karyopherin alpha 5 (importin alpha 6)
		UPF3 regulator of nonsense transcripts homolog A (yeast)
		chromosome 15 open reading frame 61
		cerebral endothelial cell adhesion molecule
		frizzled-related protein
		RUN domain containing 1
		caspase 9, apoptosis-related cysteine peptidase
		phosphatidylinositol-specific phospholipase C, X domain containing 3
		midline 1 (Opitz/BBB syndrome)
		coiled-coil serine-rich protein 2
		immunoglobulin superfamily, member 10
		neutral cholesterol ester hydrolase 1
		U2 snRNP-associated SURP domain containing
		sal-like 3 (Drosophila)
		muskelin 1, intracellular mediator containing kelch motifs
		BTB (POZ) domain containing 10
		autophagy related 2B
		ribosomal protein S6 kinase, 90kDa, polypeptide 2
		cytochrome P450, family 26, subfamily B, polypeptide 1
		thyroid hormone receptor interactor 10
		secretory carrier membrane protein 2
		membrane-associated ring finger (C3HC4) 6, E3 ubiquitin protein ligase
		solute carrier family 30 (zinc transporter), member 3
		matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
		F-box protein 48
		protein O-fucosyltransferase 1
		forkhead box J2
		chromodomain helicase DNA binding protein 5
		activin A receptor, type IB
		COX20 cytochrome C oxidase assembly factor
		KIAA0226
		LIM homeobox 4
		lysosomal-associated membrane protein family, member 5
		membrane-bound transcription factor peptidase, site 1
		methyl CpG binding protein 2 (Rett syndrome)
		sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B
		sprouty homolog 4 (Drosophila)
		chondroitin sulfate N-acetylgalactosaminyltransferase 1
		PX domain containing serine/threonine kinase
		PDZ and LIM domain 5
		serine/threonine kinase 38
		CD226 molecule
		homeobox containing 1
		NK3 homeobox 2
		transmembrane and ubiquitin-like domain containing 2
		formin binding protein 1-like
		SKI/DACH domain containing 1
		family with sequence similarity 131, member B
		family with sequence similarity 117, member B
		twinfilin actin-binding protein 1
		gamma-glutamyl carboxylase
		fibronectin type III and SPRY domain containing 1-like
		transient receptor potential cation channel, subfamily V, member 6
		protein phosphatase 1, regulatory subunit 15B
		interferon regulatory factor 2 binding protein 2
		zinc finger and BTB domain containing 47
		KIAA1462
		interferon regulatory factor 1
		synaptotagmin VII
		Tctex1 domain containing 1
		interleukin 17 receptor D
		MAK16 homolog (S. cerevisiae)
		cytochrome c oxidase subunit VIIIC
		zinc finger, X-linked, duplicated A
		BCL2-like 2
		family with sequence similarity 134, member C
		beta-gamma crystallin domain containing 3
		sideroflexin 5
		sodium/myo-inositol cotransporter
		nucleophosmin (nucleolar phosphoprotein B23, numatrin)
		microtubule associated serine/threonine kinase-like
		opioid binding protein/cell adhesion molecule-like
		ribosomal protein S6 kinase, 90kDa, polypeptide 4
		GLIS family zinc finger 3
		ubiquitin specific peptidase 3
		l(3)mbt-like 3 (Drosophila)
		retinoblastoma-like 1 (p107)
		nucleoporin 35kDa
		odd-skipped related 1 (Drosophila)
		sirtuin 7
		ubiquitin protein ligase E3C
		pleckstrin homology domain containing, family M (with RUN domain) member 1
		cell division cycle associated 7
		F-box and leucine-rich repeat protein 5
		Cdk5 and Abl enzyme substrate 1
		taxilin alpha
		scratch homolog 2, zinc finger protein (Drosophila)
		keratin 81
		bone morphogenetic protein receptor, type II (serine/threonine kinase)
		ubiquitin specific peptidase 37
		hyperpolarization activated cyclic nucleotide-gated potassium channel 4
		LLP homolog, long-term synaptic facilitation (Aplysia)
		TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)
		ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
		pleckstrin and Sec7 domain containing
		LIM domain kinase 1
		TBC1 domain family, member 8B (with GRAM domain)
		GINS complex subunit 1 (Psf1 homolog)
		cathepsin A
		ankyrin repeat domain 13C
		solute carrier family 2 (facilitated glucose transporter), member 8
		transforming growth factor beta 1 induced transcript 1
		zinc finger and BTB domain containing 44
		platelet-activating factor acetylhydrolase 1b, catalytic subunit 2 (30kDa)
		DnaJ (Hsp40) homolog, subfamily B, member 9
		zinc finger protein 805
		kelch-like family member 20
		protein phosphatase 2, catalytic subunit, alpha isozyme
		visual system homeobox 1
		multiple PDZ domain protein
		hyaluronan binding protein 4
		vesicle transport through interaction with t-SNAREs 1A
		isoprenylcysteine carboxyl methyltransferase
		transducin (beta)-like 1X-linked
		ras homolog family member C
		NK2 homeobox 2
		LIM domain and actin binding 1
		F-box protein 39
		ADAMTS-like 2
		G protein-coupled receptor 137C
		CREB regulated transcription coactivator 3
		TRIO and F-actin binding protein
		tripartite motif containing 37
		caprin family member 2
		translocase of inner mitochondrial membrane 17 homolog A (yeast)
		tetratricopeptide repeat domain 39C
		follistatin-like 4
		methionine adenosyltransferase II, beta
		ribosomal protein S6 kinase, 90kDa, polypeptide 3
		sequestosome 1
		stress-associated endoplasmic reticulum protein 1
		fin bud initiation factor homolog (zebrafish)
		capicua transcriptional repressor
		RUN and FYVE domain containing 2
		cell cycle associated protein 1
		phosphoinositide-3-kinase, regulatory subunit 1 (alpha)
		polypyrimidine tract binding protein 1
		ceramide synthase 6
		A kinase (PRKA) anchor protein 11
		kinesin family member 26B
		TBC1 domain family, member 10C
		grainyhead-like 2 (Drosophila)
		trafficking protein particle complex 10
		ubiquitin specific peptidase 24
		sodium channel, voltage-gated, type II, beta subunit
		solute carrier family 17 (vesicular glutamate transporter), member 7
		protein phosphatase 1, regulatory subunit 21
		adenomatosis polyposis coli down-regulated 1
		Scm-like with four mbt domains 1
		SUMO1/sentrin specific peptidase 5
		zinc finger protein 703
		leucine-rich repeats and calponin homology (CH) domain containing 1
		nuclear factor I/C (CCAAT-binding transcription factor)
		desmoglein 4
		KIAA1522
		StAR-related lipid transfer (START) domain containing 4
		centrosomal protein 57kDa
		Rho guanine nucleotide exchange factor (GEF) 11
		breast cancer metastasis-suppressor 1-like
		fem-1 homolog b (C. elegans)
		cyclin D2
		sorting nexin 16
		FYVE, RhoGEF and PH domain containing 5
		peroxisome proliferator-activated receptor alpha
		autophagy related 16-like 1 (S. cerevisiae)
		diacylglycerol kinase, theta 110kDa
		lipopolysaccharide-induced TNF factor
		CAP-GLY domain containing linker protein family, member 4
		striatin interacting protein 2
		chromosome 11 open reading frame 82
		unc-51 like autophagy activating kinase 1
		ephrin-B1
		microtubule-associated protein, RP/EB family, member 3
		proline rich 12
		chromosome 14 open reading frame 28
		nuclear receptor subfamily 4, group A, member 3
		DIP2 disco-interacting protein 2 homolog A (Drosophila)
		retinoblastoma-like 2 (p130)
		collagen, type IV, alpha 1
		cyclic nucleotide gated channel beta 3
		AT rich interactive domain 4A (RBP1-like)
		protein phosphatase 6, regulatory subunit 3
		plastin 1
		RAB12, member RAS oncogene family
		transforming, acidic coiled-coil containing protein 1
		septin 2
		transmembrane protein 50B
		bromodomain containing 4
		calponin 1, basic, smooth muscle
		forkhead box Q1
		Rho/Rac guanine nucleotide exchange factor (GEF) 18
		round spermatid basic protein 1
		lysine (K)-specific methyltransferase 2A
		Src homology 2 domain containing F
		dopamine receptor D1
		neuron navigator 2
		oxidation resistance 1
		myeloid cell leukemia sequence 1 (BCL2-related)
		ADAM metallopeptidase domain 9
		family with sequence similarity 13, member C
		solute carrier family 16, member 6
		zinc finger, RAN-binding domain containing 1
		zinc finger, FYVE domain containing 9
		golgin A1
		spectrin repeat containing, nuclear envelope 2
		adrenoceptor alpha 1B
		mex-3 RNA binding family member D
		zinc finger protein 236
		RNA binding motif, single stranded interacting protein 1
		WD repeat domain 82
		phosphate cytidylyltransferase 1, choline, beta
		neuronal differentiation 2
		digestive organ expansion factor homolog (zebrafish)
		chromosome 16 open reading frame 52
		zinc finger protein 652
		anti-silencing function 1A histone chaperone
		UDP-glucuronate decarboxylase 1
		LIM homeobox 8
		solute carrier family 45, member 4
		ERO1-like beta (S. cerevisiae)
		Sp8 transcription factor
		cytochrome c oxidase subunit VIIa polypeptide 2 like
		methyl-CpG binding domain protein 5
		retinoblastoma 1
		TBC1 domain family, member 20
		glycoprotein integral membrane 1
		SMAD specific E3 ubiquitin protein ligase 1
		cyclin M2
		ankyrin repeat and IBR domain containing 1
		family with sequence similarity 3, member C
		mitofusin 1
		proline rich 16
		additional sex combs like 3 (Drosophila)
		argonaute RISC catalytic component 1
		zinc finger and BTB domain containing 6
		ADP-ribosylation factor-like 4A
		arginine/serine-rich coiled-coil 2
		ribosomal protein S6 kinase, 90kDa, polypeptide 1
		glycerol-3-phosphate dehydrogenase 2 (mitochondrial)
		heterochromatin protein 1, binding protein 3
		unkempt homolog (Drosophila)-like
		BTG family, member 3
		A kinase (PRKA) anchor protein 9
		trans-golgi network protein 2
		atlastin GTPase 3
		K(lysine) acetyltransferase 2B
		sulfatase modifying factor 1
		ATPase, Na+/K+ transporting, alpha 2 polypeptide
		mitogen-activated protein kinase kinase kinase 5
		X-linked inhibitor of apoptosis
		MAP/microtubule affinity-regulating kinase 4
		dedicator of cytokinesis 4
		solute carrier family 2 (facilitated glucose transporter), member 4
		ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
		phosphoglucomutase 2-like 1
		SH3-domain binding protein 5 (BTK-associated)
		heparan sulfate 2-O-sulfotransferase 1
		myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6
		solute carrier family 39 (zinc transporter), member 6
		AF4/FMR2 family, member 1
		mitogen-activated protein kinase 4
		cadherin 24, type 2
		GATA zinc finger domain containing 2B
		exoribonuclease 1
		Rho GTPase activating protein 1
		RasGEF domain family, member 1A
		neuronal PAS domain protein 2
		homeobox B13
		FYVE and coiled-coil domain containing 1
		zinc finger CCCH-type containing 7B
		formin binding protein 4
		family with sequence similarity 19 (chemokine (C-C motif)-like), member A1
		calmodulin binding transcription activator 2
		hematological and neurological expressed 1
		matrix metallopeptidase 24 (membrane-inserted)
		cell division cycle 23
		death effector domain containing
		topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase
		myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1
		uncoupling protein 3 (mitochondrial, proton carrier)
		guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
		inositol-trisphosphate 3-kinase B
		zinc finger and BTB domain containing 43
		ring finger protein 4
		leukemia inhibitory factor
		Sp9 transcription factor
		integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)
		KIAA1147
		sorting nexin 8
		MAX interactor 1, dimerization protein
		thrombospondin 2
		BMP2 inducible kinase
		Histone-lysine N-methyltransferase 2B
		Crm, cramped-like (Drosophila)
		Fas associated factor family member 2
		slingshot protein phosphatase 1
		SAR1 homolog B (S. cerevisiae)
		syntrophin, gamma 1
		RAS p21 protein activator 2
		family with sequence similarity 84, member B
		leucine rich repeat containing 20
		serine/threonine kinase 11
		SPARC related modular calcium binding 2
		pleckstrin homology domain containing, family A member 7
		solute carrier family 25, member 27
		E2F transcription factor 2
		bone morphogenetic protein 2
		sestrin 2
		RAB22A, member RAS oncogene family
		ubiquitin specific peptidase 53
		yippee-like 4 (Drosophila)
		isthmin 1, angiogenesis inhibitor
		four jointed box 1 (Drosophila)
		male-specific lethal 1 homolog (Drosophila)
		D4, zinc and double PHD fingers, family 3
		N-acetylglucosamine kinase
		Rho guanine nucleotide exchange factor (GEF) 7
		leucine zipper protein 1
		Ras association (RalGDS/AF-6) domain family member 2
		sex comb on midleg-like 2 (Drosophila)
		RAB8B, member RAS oncogene family
		purine-rich element binding protein G
		pseudopodium-enriched atypical kinase 1
		forkhead box K2
		cholinergic receptor, muscarinic 2
		nuclear factor of activated T-cells 5, tonicity-responsive
		myosin regulatory light chain interacting protein
		apoptosis enhancing nuclease
		Hermansky-Pudlak syndrome 5
		glucosamine (N-acetyl)-6-sulfatase
		methyl-CpG binding domain protein 2
		zinc finger protein 2
		makorin ring finger protein 1
		POC1B-GALNT4 readthrough
		cell division cycle 40
		ANKH inorganic pyrophosphate transport regulator
		Rho GTPase activating protein 35
		epithelial mitogen
		arylsulfatase family, member J
		mitogen-activated protein kinase kinase kinase 11
		wingless-type MMTV integration site family, member 9B
		formin-like 3
		enhancer of zeste homolog 1 (Drosophila)
		FERM domain containing 6
		integrin alpha FG-GAP repeat containing 1
		dynein, cytoplasmic 1, light intermediate chain 2
		heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1
		interaction protein for cytohesin exchange factors 1
		small integral membrane protein 14
		mediator complex subunit 6
		fyn-related kinase
		small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta
		golgi brefeldin A resistant guanine nucleotide exchange factor 1
		tripartite motif containing 36
